model,track,stem,SDR,SI-SDR,PQ,CE,CU,inference_time_sec
Spleeter,AM Contra - Heart Peripheral,vocals,9.7568,10.0795,6.2071309089660645,3.9601426124572754,5.593652248382568,64.97507905960083
Spleeter,AM Contra - Heart Peripheral,drums,5.1310,3.8504,7.361324310302734,4.941864967346191,7.423126697540283,64.97507905960083
Spleeter,AM Contra - Heart Peripheral,bass,-1.0523,-4.8549,5.790981769561768,3.176330327987671,5.471047401428223,64.97507905960083
Spleeter,AM Contra - Heart Peripheral,other,0.7292,-7.4156,6.785627365112305,4.633493900299072,6.443464279174805,64.97507905960083
Spleeter,Al James - Schoolboy Facination,vocals,6.4085,6.0805,6.06854248046875,6.014847278594971,5.267442226409912,54.16507577896118
Spleeter,Al James - Schoolboy Facination,drums,4.2068,2.5258,6.370978832244873,4.483134746551514,6.690506458282471,54.16507577896118
Spleeter,Al James - Schoolboy Facination,bass,5.3835,4.3884,5.467672824859619,3.6839287281036377,5.599581241607666,54.16507577896118
Spleeter,Al James - Schoolboy Facination,other,2.1557,-2.4158,6.846433162689209,6.405864715576172,6.402968406677246,54.16507577896118
Spleeter,Angels In Amplifiers - I'm Alright,vocals,8.8093,8.3307,5.008865833282471,2.970113754272461,3.9099481105804443,49.496257066726685
Spleeter,Angels In Amplifiers - I'm Alright,drums,4.9287,4.1692,6.676532745361328,5.091838836669922,7.245590686798096,49.496257066726685
Spleeter,Angels In Amplifiers - I'm Alright,bass,4.5944,3.6034,5.596022129058838,3.225534677505493,5.5566606521606445,49.496257066726685
Spleeter,Angels In Amplifiers - I'm Alright,other,6.0097,4.0949,6.4588398933410645,7.06382417678833,6.522327423095703,49.496257066726685
Spleeter,Arise - Run Run Run,vocals,5.7007,4.9419,6.808236122131348,3.718949317932129,4.888551235198975,60.79780697822571
Spleeter,Arise - Run Run Run,drums,1.0519,-1.2013,7.326854228973389,5.000180244445801,7.089358329772949,60.79780697822571
Spleeter,Arise - Run Run Run,bass,1.6568,1.1243,4.213241100311279,3.5978493690490723,4.158750057220459,60.79780697822571
Spleeter,Arise - Run Run Run,other,0.5737,-8.6248,5.35727071762085,3.316673517227173,5.233912467956543,60.79780697822571
Spleeter,BKS - Bulldozer,vocals,5.9114,-0.2165,4.683382511138916,3.0797066688537598,4.150852203369141,81.03159046173096
Spleeter,BKS - Bulldozer,drums,8.5578,8.7474,6.235544204711914,5.368402004241943,6.719411373138428,81.03159046173096
Spleeter,BKS - Bulldozer,bass,5.9582,4.9894,4.897973537445068,3.647317409515381,5.134491920471191,81.03159046173096
Spleeter,BKS - Bulldozer,other,4.6096,3.3401,5.744948387145996,6.145025253295898,5.619710445404053,81.03159046173096
Spleeter,BKS - Too Much,vocals,10.1867,10.6048,6.034689426422119,4.567090034484863,5.351810455322266,57.60933566093445
Spleeter,BKS - Too Much,drums,6.0938,5.0839,6.643167495727539,5.293818950653076,7.230179786682129,57.60933566093445
Spleeter,BKS - Too Much,bass,7.7987,7.3523,5.548855781555176,3.540463924407959,5.667109966278076,57.60933566093445
Spleeter,BKS - Too Much,other,5.0374,2.5886,6.586038589477539,6.333971977233887,6.328523635864258,57.60933566093445
Spleeter,Ben Carrigan - We'll Talk About It All Tonight,vocals,4.6132,3.3367,6.0248122215271,4.351022243499756,5.27272891998291,62.59930396080017
Spleeter,Ben Carrigan - We'll Talk About It All Tonight,drums,6.6143,5.7986,6.698019027709961,4.3779754638671875,6.788182735443115,62.59930396080017
Spleeter,Ben Carrigan - We'll Talk About It All Tonight,bass,6.6519,5.8589,6.250716686248779,3.314082145690918,6.015926837921143,62.59930396080017
Spleeter,Ben Carrigan - We'll Talk About It All Tonight,other,4.6901,2.4759,7.350240230560303,6.651671409606934,6.759618759155273,62.59930396080017
Spleeter,Bobby Nobody - Stitch Up,vocals,7.2315,6.4070,6.0031023025512695,4.522810459136963,5.035007476806641,64.58736062049866
Spleeter,Bobby Nobody - Stitch Up,drums,4.5759,2.6792,6.657611846923828,3.6642284393310547,6.5842790603637695,64.58736062049866
Spleeter,Bobby Nobody - Stitch Up,bass,3.7605,2.8901,4.915729522705078,3.2357349395751953,5.100256443023682,64.58736062049866
Spleeter,Bobby Nobody - Stitch Up,other,3.2599,0.5276,5.8650970458984375,6.347735404968262,6.166122913360596,64.58736062049866
Spleeter,Buitraker - Revo X,vocals,2.8985,1.9151,5.46437931060791,3.154214859008789,4.018858909606934,67.89857316017151
Spleeter,Buitraker - Revo X,drums,9.6378,9.5585,6.566826343536377,4.072591781616211,6.656182765960693,67.89857316017151
Spleeter,Buitraker - Revo X,bass,5.8920,5.1717,6.177511692047119,3.668560743331909,6.252278804779053,67.89857316017151
Spleeter,Buitraker - Revo X,other,4.3983,0.2229,6.378387928009033,6.21484375,6.603044033050537,67.89857316017151
Spleeter,Carlos Gonzalez - A Place For Us,vocals,6.3992,5.7148,6.1168694496154785,4.199640274047852,5.301036357879639,63.33910322189331
Spleeter,Carlos Gonzalez - A Place For Us,drums,5.9345,4.6531,6.664607048034668,4.803861618041992,6.932564735412598,63.33910322189331
Spleeter,Carlos Gonzalez - A Place For Us,bass,1.6571,-1.8059,6.065170764923096,3.142113447189331,5.868968486785889,63.33910322189331
Spleeter,Carlos Gonzalez - A Place For Us,other,5.8040,4.0098,6.1630024909973145,5.860864162445068,6.460156440734863,63.33910322189331
Spleeter,Cristina Vane - So Easy,vocals,8.8428,8.3617,6.363925457000732,5.267139434814453,5.752170085906982,62.92774510383606
Spleeter,Cristina Vane - So Easy,drums,9.6445,9.3101,6.837707996368408,5.599695682525635,7.396035194396973,62.92774510383606
Spleeter,Cristina Vane - So Easy,bass,3.7376,1.4189,5.709672451019287,3.452028274536133,5.71226692199707,62.92774510383606
Spleeter,Cristina Vane - So Easy,other,3.9010,1.9402,7.2865166664123535,6.911109447479248,6.764615535736084,62.92774510383606
Spleeter,Detsky Sad - Walkie Talkie,vocals,3.4986,3.3989,5.109163284301758,2.906564474105835,4.114668846130371,59.53802680969238
Spleeter,Detsky Sad - Walkie Talkie,drums,4.9450,3.4713,6.0727152824401855,3.885629415512085,6.495688438415527,59.53802680969238
Spleeter,Detsky Sad - Walkie Talkie,bass,1.3802,-3.9848,5.11053466796875,2.926219940185547,4.552590370178223,59.53802680969238
Spleeter,Detsky Sad - Walkie Talkie,other,1.2593,-1.2124,5.285233020782471,4.059155464172363,5.169187545776367,59.53802680969238
Spleeter,Enda Reilly - Cur An Long Ag Seol,vocals,8.3280,7.9530,6.157840728759766,4.525102138519287,4.957188129425049,48.597585678100586
Spleeter,Enda Reilly - Cur An Long Ag Seol,drums,4.9801,3.8591,6.665225982666016,3.106447696685791,6.263761043548584,48.597585678100586
Spleeter,Enda Reilly - Cur An Long Ag Seol,bass,3.5525,2.2205,4.629030227661133,2.925990343093872,4.575419902801514,48.597585678100586
Spleeter,Enda Reilly - Cur An Long Ag Seol,other,5.6385,3.5712,7.627536296844482,7.105279445648193,7.189827919006348,48.597585678100586
Spleeter,Forkupines - Semantics,vocals,7.0461,5.9977,6.022375106811523,3.7374191284179688,5.587350368499756,67.82887554168701
Spleeter,Forkupines - Semantics,drums,9.6900,9.7201,6.41146183013916,4.706317901611328,6.60888671875,67.82887554168701
Spleeter,Forkupines - Semantics,bass,3.6646,1.4679,6.203656196594238,3.1952555179595947,6.017828941345215,67.82887554168701
Spleeter,Forkupines - Semantics,other,4.9750,3.3094,5.792621612548828,6.241960048675537,6.452662467956543,67.82887554168701
Spleeter,Georgia Wonder - Siren,vocals,5.0748,4.0627,6.562257289886475,5.071203231811523,6.179300785064697,100.288565158844
Spleeter,Georgia Wonder - Siren,drums,5.9849,4.8664,7.581131935119629,5.8275299072265625,7.939963340759277,100.288565158844
Spleeter,Georgia Wonder - Siren,bass,7.4897,6.9567,5.735105037689209,3.630293846130371,5.86293888092041,100.288565158844
Spleeter,Georgia Wonder - Siren,other,5.3886,3.8286,7.19588565826416,6.393852710723877,6.97903299331665,100.288565158844
Spleeter,Girls Under Glass - We Feel Alright,vocals,5.1463,4.1813,6.054407119750977,3.4041974544525146,5.350001811981201,107.2289605140686
Spleeter,Girls Under Glass - We Feel Alright,drums,6.4868,5.9632,7.120649337768555,4.603594779968262,7.2215576171875,107.2289605140686
Spleeter,Girls Under Glass - We Feel Alright,bass,3.8544,1.4610,6.582430839538574,3.7292587757110596,6.475327491760254,107.2289605140686
Spleeter,Girls Under Glass - We Feel Alright,other,5.6057,3.7653,6.2426438331604,5.9678192138671875,6.9151387214660645,107.2289605140686
Spleeter,Hollow Ground - Ill Fate,vocals,6.2571,5.3342,5.657166481018066,3.2515430450439453,5.322174072265625,42.92878031730652
Spleeter,Hollow Ground - Ill Fate,drums,3.3407,0.7512,5.683687210083008,2.97442889213562,5.377563953399658,42.92878031730652
