model,track,stem,SDR,SI-SDR,PQ,CE,CU,inference_time_sec
BS_RoFormer,track_001,vocals,-2.2064,-73.1482,7.318358421325684,5.396241664886475,6.4377899169921875,3.726009592995979
BS_RoFormer,track_001,drums,-6.1251,-44.0113,8.077190399169922,6.489607810974121,7.999768257141113,3.726009592995979
BS_RoFormer,track_001,bass,-4.4057,-42.2484,6.668103218078613,3.74381685256958,6.355425834655762,3.726009592995979
BS_RoFormer,track_001,other,-0.7419,-61.7199,7.614099025726318,6.0082902908325195,7.391890048980713,3.726009592995979
BS_RoFormer,track_002,vocals,-3.6630,-79.0171,7.010004997253418,6.420462131500244,6.486685752868652,3.2740616439841688
BS_RoFormer,track_002,drums,-1.0007,-42.6369,7.66771125793457,6.921458721160889,8.070530891418457,3.2740616439841688
BS_RoFormer,track_002,bass,-3.1217,-55.9534,6.620999336242676,5.143483638763428,6.455666542053223,3.2740616439841688
BS_RoFormer,track_002,other,-1.8716,-50.5795,7.785768985748291,7.056982040405273,7.565929889678955,3.2740616439841688
BS_RoFormer,track_003,vocals,13.5119,13.5944,6.698444366455078,4.892038345336914,5.250479698181152,2.9006003719987348
BS_RoFormer,track_003,drums,9.1675,9.6896,7.789930820465088,7.086549282073975,8.295125007629395,2.9006003719987348
BS_RoFormer,track_003,bass,8.9283,8.4605,5.95402717590332,4.452616214752197,5.873361587524414,2.9006003719987348
BS_RoFormer,track_003,other,9.5865,8.1418,7.90126371383667,7.642850875854492,7.935503005981445,2.9006003719987348
BS_RoFormer,track_004,vocals,16.1637,16.3983,7.374318599700928,4.834327220916748,6.119383811950684,3.533056071959436
BS_RoFormer,track_004,drums,5.5704,5.4036,7.878079891204834,5.915250778198242,7.953937530517578,3.533056071959436
BS_RoFormer,track_004,bass,0.7205,0.7389,5.1124677658081055,3.998220443725586,5.244228839874268,3.533056071959436
BS_RoFormer,track_004,other,0.5501,-9.0302,6.265563011169434,4.243696212768555,6.273416042327881,3.533056071959436
BS_RoFormer,track_005,vocals,-4.0413,-66.0679,6.169976234436035,3.9022700786590576,5.387231349945068,5.533544900012203
BS_RoFormer,track_005,drums,-5.5261,-65.9623,7.358803749084473,6.494846343994141,7.911224365234375,5.533544900012203
BS_RoFormer,track_005,bass,-4.0883,-59.5138,5.712337970733643,5.351107120513916,5.917600154876709,5.533544900012203
BS_RoFormer,track_005,other,-3.5469,-52.0303,6.771634578704834,7.122704029083252,7.06087589263916,5.533544900012203
BS_RoFormer,track_006,vocals,-3.6931,-58.9595,6.482730865478516,4.8476338386535645,5.722716808319092,3.53390350099653
BS_RoFormer,track_006,drums,-1.9199,-45.5102,7.568604946136475,6.54819393157959,8.030564308166504,3.53390350099653
BS_RoFormer,track_006,bass,-3.6106,-54.4684,5.650778293609619,4.724706172943115,5.826869487762451,3.53390350099653
BS_RoFormer,track_006,other,-2.0251,-43.1142,6.789749622344971,6.924780368804932,7.103582859039307,3.53390350099653
BS_RoFormer,track_007,vocals,-1.5325,-47.5494,7.044066429138184,5.1892547607421875,6.325771331787109,4.168780117004644
BS_RoFormer,track_007,drums,-2.3490,-60.3503,7.085766315460205,4.798823833465576,7.1334099769592285,4.168780117004644
BS_RoFormer,track_007,bass,-1.8184,-42.4976,6.226790428161621,3.8583884239196777,6.06807279586792,4.168780117004644
BS_RoFormer,track_007,other,-3.2784,-50.5754,8.06166934967041,7.181019306182861,7.781872272491455,4.168780117004644
BS_RoFormer,track_008,vocals,12.9228,12.8359,7.085289478302002,5.314011096954346,6.056107521057129,3.6256990220281295
BS_RoFormer,track_008,drums,8.9010,8.2636,7.404201507568359,5.609180450439453,7.637953758239746,3.6256990220281295
BS_RoFormer,track_008,bass,8.2583,7.9019,5.785826683044434,4.52176570892334,6.05951452255249,3.6256990220281295
BS_RoFormer,track_008,other,7.1705,6.2472,7.293951034545898,7.171114444732666,7.544802188873291,3.6256990220281295
BS_RoFormer,track_009,vocals,8.7704,9.0874,7.041722774505615,4.493210315704346,5.189000129699707,4.533342081005685
BS_RoFormer,track_009,drums,15.5157,16.4274,7.463008403778076,6.043717861175537,7.675928115844727,4.533342081005685
BS_RoFormer,track_009,bass,11.1931,11.0718,6.407130718231201,5.944911956787109,6.559504985809326,4.533342081005685
BS_RoFormer,track_009,other,8.9046,5.8942,7.0693278312683105,6.505511283874512,7.365358352661133,4.533342081005685
BS_RoFormer,track_010,vocals,9.7996,9.8408,7.366081714630127,5.453112602233887,6.481987953186035,4.0737113489885814
BS_RoFormer,track_010,drums,8.7166,8.2507,7.6679887771606445,5.947507858276367,7.733084678649902,4.0737113489885814
BS_RoFormer,track_010,bass,4.0118,1.8302,6.74044942855835,3.3833532333374023,6.508948802947998,4.0737113489885814
BS_RoFormer,track_010,other,8.4505,7.3217,6.808460712432861,6.4223856925964355,6.998929977416992,4.0737113489885814
BS_RoFormer,track_011,vocals,14.0222,14.4040,7.434706687927246,6.178650856018066,6.953959941864014,4.1729515889892355
BS_RoFormer,track_011,drums,15.5613,15.7835,7.614808082580566,6.97865104675293,8.128922462463379,4.1729515889892355
BS_RoFormer,track_011,bass,7.5475,6.7250,6.757451057434082,6.04179573059082,6.617702007293701,4.1729515889892355
BS_RoFormer,track_011,other,7.3454,6.5509,7.840609550476074,7.318413257598877,7.6564202308654785,4.1729515889892355
BS_RoFormer,track_012,vocals,6.8154,6.5385,6.94208288192749,3.731492280960083,5.521209716796875,3.094964209012687
BS_RoFormer,track_012,drums,7.2228,6.2798,6.99241304397583,5.010226726531982,7.4943318367004395,3.094964209012687
BS_RoFormer,track_012,bass,6.4040,5.3488,5.098606109619141,3.8842084407806396,5.309393882751465,3.094964209012687
BS_RoFormer,track_012,other,3.2005,1.4007,6.21890115737915,5.622251987457275,6.19521951675415,3.094964209012687
BS_RoFormer,track_013,vocals,15.9608,17.5149,7.3881144523620605,5.513060569763184,6.258753299713135,2.996400560019538
BS_RoFormer,track_013,drums,11.9377,11.8883,7.383871078491211,4.453596115112305,7.408646583557129,2.996400560019538
BS_RoFormer,track_013,bass,10.9895,10.8074,4.559715747833252,3.465390920639038,4.805571556091309,2.996400560019538
BS_RoFormer,track_013,other,12.5914,12.4932,8.327446937561035,7.669104099273682,7.985387802124023,2.996400560019538
BS_RoFormer,track_014,vocals,9.7320,9.0061,6.3345770835876465,3.745687484741211,5.727176189422607,4.434089007962029
BS_RoFormer,track_014,drums,13.6480,14.1080,7.440751552581787,6.253194808959961,7.828878402709961,4.434089007962029
BS_RoFormer,track_014,bass,7.9335,7.2553,6.306859970092773,3.812856435775757,6.317236423492432,4.434089007962029
BS_RoFormer,track_014,other,7.4186,6.1899,6.40496301651001,6.614773750305176,7.011769771575928,4.434089007962029
BS_RoFormer,track_015,vocals,6.6584,6.5470,7.166048049926758,5.664815425872803,6.71884822845459,7.075674972962588
BS_RoFormer,track_015,drums,11.4783,11.6919,8.19961166381836,6.922774314880371,8.213665008544922,7.075674972962588
BS_RoFormer,track_015,bass,12.6276,12.6155,6.411816596984863,4.54902982711792,6.419511318206787,7.075674972962588
BS_RoFormer,track_015,other,7.5142,6.9237,7.760778903961182,7.044894218444824,7.602273941040039,7.075674972962588
BS_RoFormer,track_016,vocals,7.2310,6.7282,6.292251110076904,3.556978702545166,5.602879524230957,5.1663313720491715
BS_RoFormer,track_016,drums,9.7870,9.7758,7.952923774719238,6.089369297027588,8.005058288574219,5.1663313720491715
BS_RoFormer,track_016,bass,4.5463,2.7865,5.986209869384766,3.5524957180023193,5.9083662033081055,5.1663313720491715
BS_RoFormer,track_016,other,5.2316,3.7930,6.646430492401123,5.983476161956787,7.056776523590088,5.1663313720491715
BS_RoFormer,track_017,vocals,8.9121,8.3626,6.391143321990967,3.1922287940979004,5.586818218231201,2.2669345749891363
BS_RoFormer,track_017,drums,8.5090,7.9307,6.496502876281738,4.5800886154174805,6.905205726623535,2.2669345749891363
