model,track,stem,SDR,SI-SDR,PQ,CE,CU,inference_time_sec
Open-Unmix,track_001,vocals,8.7055,8.8853,6.828751564025879,5.019013404846191,6.383200645446777,
Open-Unmix,track_001,drums,5.9073,4.7751,7.198120594024658,5.54316520690918,7.132815361022949,
Open-Unmix,track_001,bass,-1.1341,-4.2472,5.032901287078857,3.0863304138183594,4.640271186828613,
Open-Unmix,track_001,other,0.3901,-10.2604,6.086281776428223,4.8657379150390625,5.788164138793945,
Open-Unmix,track_002,vocals,5.7965,5.2713,6.449862480163574,6.516204833984375,6.309226989746094,
Open-Unmix,track_002,drums,3.2977,1.0375,6.331686019897461,5.0349555015563965,6.587144374847412,
Open-Unmix,track_002,bass,4.4621,2.9192,5.0178351402282715,3.551166534423828,5.024028778076172,
Open-Unmix,track_002,other,0.8558,-4.0222,7.1448588371276855,6.573513984680176,6.702112674713135,
Open-Unmix,track_003,vocals,9.4287,8.9423,5.857240200042725,4.12845516204834,4.682591438293457,
Open-Unmix,track_003,drums,5.2926,4.7870,6.78737211227417,5.966676235198975,7.155385494232178,
Open-Unmix,track_003,bass,4.8266,3.8689,4.934090614318848,3.758408784866333,4.971512794494629,
Open-Unmix,track_003,other,5.9897,3.9507,7.222774505615234,7.209240436553955,7.194438934326172,
Open-Unmix,track_004,vocals,6.4521,5.6234,6.925856113433838,4.001003742218018,5.384380340576172,
Open-Unmix,track_004,drums,1.9442,0.1250,7.16877555847168,4.912747383117676,6.997601509094238,
Open-Unmix,track_004,bass,2.8642,2.1064,3.986619710922241,3.6207633018493652,3.7452163696289062,
Open-Unmix,track_004,other,1.4797,-3.7758,6.9087724685668945,4.123579978942871,6.345489025115967,
Open-Unmix,track_005,vocals,6.7192,-0.1669,5.445653438568115,3.7882444858551025,4.522541046142578,
Open-Unmix,track_005,drums,9.2364,9.4639,6.206590175628662,5.5845160484313965,6.772892475128174,
Open-Unmix,track_005,bass,6.5928,5.8733,4.978651523590088,4.619622707366943,5.092381000518799,
Open-Unmix,track_005,other,4.5251,2.7253,6.041393756866455,6.056357383728027,5.97164249420166,
Open-Unmix,track_006,vocals,9.4117,9.8601,6.217441082000732,5.014287948608398,5.629375457763672,
Open-Unmix,track_006,drums,6.8512,6.1483,6.569321632385254,5.649345397949219,7.165544509887695,
Open-Unmix,track_006,bass,8.4695,8.2184,5.336188316345215,3.6858742237091064,5.514043807983398,
Open-Unmix,track_006,other,4.7875,2.0334,6.10076379776001,5.878571510314941,6.045411109924316,
Open-Unmix,track_007,vocals,4.0448,2.3903,6.702154636383057,5.190734386444092,5.963639259338379,
Open-Unmix,track_007,drums,6.9546,6.2433,6.623788356781006,4.765418529510498,6.800504207611084,
Open-Unmix,track_007,bass,6.8191,6.0304,5.694375038146973,3.452610969543457,5.483168601989746,
Open-Unmix,track_007,other,4.1035,1.4792,7.126313209533691,6.355714321136475,6.739475727081299,
Open-Unmix,track_008,vocals,7.9745,7.2971,6.955405235290527,5.461347579956055,6.147528171539307,
Open-Unmix,track_008,drums,4.9692,3.1525,6.44675874710083,4.301184177398682,6.715517520904541,
Open-Unmix,track_008,bass,3.6476,2.8691,4.506069183349609,3.915670156478882,4.852478504180908,
Open-Unmix,track_008,other,3.0933,0.3237,6.426037788391113,6.853098392486572,6.75485372543335,
Open-Unmix,track_009,vocals,2.8600,1.6234,5.9684367179870605,3.8924875259399414,4.450379848480225,
Open-Unmix,track_009,drums,9.0690,9.3493,6.5684123039245605,4.794373035430908,6.755432605743408,
Open-Unmix,track_009,bass,5.2960,4.1097,4.786740779876709,3.924093246459961,4.789892673492432,
Open-Unmix,track_009,other,4.0972,-0.4532,6.319861888885498,6.411082744598389,6.607492446899414,
Open-Unmix,track_010,vocals,5.3347,4.5677,6.698246479034424,5.11643648147583,5.951766014099121,
Open-Unmix,track_010,drums,5.6040,4.1529,6.692890167236328,5.362534046173096,7.0952301025390625,
Open-Unmix,track_010,bass,2.0497,-1.7048,5.922271251678467,3.039900779724121,5.2087721824646,
Open-Unmix,track_010,other,4.3533,2.6647,6.5408196449279785,6.076142311096191,6.668758392333984,
Open-Unmix,track_011,vocals,8.7261,8.2199,6.978115081787109,6.167923927307129,6.698004245758057,
Open-Unmix,track_011,drums,10.0887,9.8555,6.640037536621094,5.2986860275268555,7.044618129730225,
Open-Unmix,track_011,bass,4.2430,2.2916,5.34581184387207,3.3890302181243896,5.243638038635254,
Open-Unmix,track_011,other,3.5628,1.7097,7.415475845336914,6.752266883850098,7.099466323852539,
Open-Unmix,track_012,vocals,1.9090,1.7685,5.025436878204346,3.0168142318725586,3.7348179817199707,
Open-Unmix,track_012,drums,4.6869,3.1777,6.113452911376953,4.418698787689209,6.649954795837402,
Open-Unmix,track_012,bass,0.2347,-12.3127,5.7204766273498535,3.013460159301758,4.693253993988037,
Open-Unmix,track_012,other,0.9953,-2.0877,5.4496259689331055,4.900895118713379,5.174269676208496,
Open-Unmix,track_013,vocals,9.3248,9.2482,6.941783905029297,5.132388114929199,6.106596946716309,
Open-Unmix,track_013,drums,2.0941,-1.1828,6.412333011627197,3.2348623275756836,6.01511287689209,
Open-Unmix,track_013,bass,0.9418,-0.7858,4.6436052322387695,2.7666683197021484,4.222474098205566,
Open-Unmix,track_013,other,5.6230,3.7575,7.645943641662598,7.077718734741211,7.215568542480469,
Open-Unmix,track_014,vocals,6.5649,5.2308,6.038740634918213,3.9753148555755615,5.3400959968566895,
Open-Unmix,track_014,drums,10.0973,10.2445,6.660148620605469,5.975370407104492,7.167648792266846,
Open-Unmix,track_014,bass,3.4453,1.4673,6.086909770965576,3.0704309940338135,5.728625774383545,
Open-Unmix,track_014,other,4.5794,2.4172,6.145832061767578,6.576013088226318,6.793509483337402,
Open-Unmix,track_015,vocals,3.9014,2.3143,6.394888401031494,4.9490885734558105,6.072371959686279,
Open-Unmix,track_015,drums,6.2048,5.2689,7.634840488433838,6.344160079956055,7.811928749084473,
Open-Unmix,track_015,bass,7.9925,7.6377,5.458899021148682,3.7295660972595215,5.522916316986084,
Open-Unmix,track_015,other,4.8737,3.1444,7.466121196746826,6.683172225952148,7.174120903015137,
Open-Unmix,track_016,vocals,5.0197,3.8696,6.206574440002441,3.9188718795776367,5.354302883148193,
Open-Unmix,track_016,drums,6.1040,5.6325,7.1954121589660645,5.273507118225098,7.42368745803833,
Open-Unmix,track_016,bass,2.8068,0.2976,5.999826908111572,3.1769373416900635,5.508725643157959,
Open-Unmix,track_016,other,4.3048,2.4365,5.739527225494385,5.813710689544678,6.696099281311035,
Open-Unmix,track_017,vocals,7.2095,6.4897,6.1823272705078125,3.1778273582458496,5.313508033752441,
Open-Unmix,track_017,drums,4.4986,2.7674,5.58203649520874,3.898491144180298,6.171191692352295,
Open-Unmix,track_017,bass,-3.1374,-4.6724,4.733816623687744,3.6380505561828613,5.008243083953857,
Open-Unmix,track_017,other,1.2853,-3.7950,5.099252700805664,4.616303443908691,5.736078262329102,
Open-Unmix,track_018,vocals,6.5894,6.2683,6.383374214172363,4.733429908752441,5.624101161956787,
Open-Unmix,track_018,drums,7.6244,7.2784,6.938269138336182,4.77870512008667,6.9599738121032715,
Open-Unmix,track_018,bass,5.8140,4.6495,6.48260498046875,3.21457576751709,6.008327007293701,
Open-Unmix,track_018,other,5.5957,4.8623,6.549069881439209,6.3255534172058105,6.730830669403076,
Open-Unmix,track_019,vocals,8.3168,7.0840,6.0185370445251465,4.3598175048828125,5.162353992462158,
Open-Unmix,track_019,drums,10.1746,10.6324,7.063075065612793,6.073908805847168,7.19321870803833,
Open-Unmix,track_019,bass,2.8762,0.0016,5.440709590911865,3.809396743774414,5.313482761383057,
Open-Unmix,track_019,other,5.2952,3.1197,6.536005020141602,6.2875776290893555,6.66546106338501,
Open-Unmix,track_020,vocals,7.9092,7.9745,6.994983196258545,5.620527744293213,6.2618279457092285,
Open-Unmix,track_020,drums,7.3158,7.0179,7.035805702209473,5.117777347564697,7.161113262176514,
Open-Unmix,track_020,bass,8.7225,8.3066,6.681492328643799,3.0464589595794678,6.29520845413208,
Open-Unmix,track_020,other,2.7578,-0.9447,6.936699390411377,6.715808868408203,6.754025459289551,
Open-Unmix,track_021,vocals,6.0072,6.1260,6.104878902435303,3.8634490966796875,5.113989353179932,
Open-Unmix,track_021,drums,7.7939,7.5997,6.321796894073486,4.355563163757324,6.3532586097717285,
Open-Unmix,track_021,bass,5.2215,4.0475,5.1689558029174805,3.2612242698669434,4.894230842590332,
Open-Unmix,track_021,other,6.5859,3.8962,6.18817663192749,6.18844747543335,6.395424842834473,
Open-Unmix,track_022,vocals,11.0604,11.4798,6.4008026123046875,5.2504167556762695,6.091468811035156,
Open-Unmix,track_022,drums,5.9797,5.1314,6.522787570953369,3.8349788188934326,6.217260360717773,
Open-Unmix,track_022,bass,6.3936,5.6059,6.07767391204834,3.3577234745025635,5.660561561584473,
Open-Unmix,track_022,other,4.6300,2.8386,6.877776145935059,6.734279155731201,6.226789951324463,
Open-Unmix,track_023,vocals,8.0653,6.5980,7.076387882232666,5.452409267425537,6.297889232635498,
Open-Unmix,track_023,drums,3.9886,2.1023,6.586472988128662,4.494543075561523,6.6626691818237305,
Open-Unmix,track_023,bass,3.1147,1.4655,6.094907760620117,3.0267839431762695,5.4092559814453125,
Open-Unmix,track_023,other,4.0826,2.4010,6.7835001945495605,5.157469272613525,6.388784885406494,
Open-Unmix,track_024,vocals,8.2372,8.0141,5.76257848739624,4.868558883666992,5.183473110198975,
Open-Unmix,track_024,drums,8.6126,8.2091,6.698294162750244,5.835552215576172,7.140494346618652,
Open-Unmix,track_024,bass,4.7108,3.2129,5.19576358795166,3.4148178100585938,5.071829795837402,
Open-Unmix,track_024,other,4.6318,2.4554,5.8430070877075195,6.611285209655762,6.326342582702637,
Open-Unmix,track_025,vocals,5.1627,4.4397,7.015827655792236,4.394767761230469,5.929355621337891,
Open-Unmix,track_025,drums,5.5814,4.4527,6.098674774169922,3.311424970626831,5.773140907287598,
Open-Unmix,track_025,bass,8.2762,7.7834,5.919764041900635,3.628645896911621,6.036564350128174,
Open-Unmix,track_025,other,7.0206,6.2639,6.0668559074401855,5.757845401763916,5.932310104370117,
Open-Unmix,track_026,vocals,7.5444,8.0330,6.7303032875061035,4.821436882019043,5.383059501647949,
Open-Unmix,track_026,drums,10.8437,11.7573,7.096551418304443,5.224372386932373,7.092868328094482,
Open-Unmix,track_026,bass,3.4768,2.2591,5.776381015777588,3.5883541107177734,5.397836208343506,
Open-Unmix,track_026,other,4.1796,2.3634,6.773921012878418,5.521512031555176,6.735525608062744,
Open-Unmix,track_027,vocals,6.0552,5.5332,6.808291435241699,5.910439968109131,6.53128719329834,
Open-Unmix,track_027,drums,8.8517,8.6298,6.927824020385742,3.9838051795959473,6.658384799957275,
Open-Unmix,track_027,bass,4.6936,3.5237,6.052831172943115,4.535679817199707,5.960259914398193,
Open-Unmix,track_027,other,5.1528,3.6640,6.661494731903076,6.451251029968262,6.707828044891357,
Open-Unmix,track_028,vocals,-0.4353,-12.0881,6.468191623687744,3.171780824661255,5.526759147644043,
Open-Unmix,track_028,drums,12.9803,13.0259,8.02375316619873,6.601650238037109,8.016472816467285,
Open-Unmix,track_028,bass,8.4002,7.8442,5.727889537811279,2.8131167888641357,5.13932991027832,
Open-Unmix,track_028,other,-0.0006,-21.9743,6.790535926818848,3.2046477794647217,6.106098175048828,
Open-Unmix,track_029,vocals,-1.3830,-8.1082,7.028346538543701,3.3389391899108887,5.855227470397949,
Open-Unmix,track_029,drums,5.5893,6.3589,7.9917378425598145,6.377139568328857,7.817102432250977,
Open-Unmix,track_029,bass,2.1455,-1.1781,5.937178134918213,3.1063637733459473,5.440317153930664,
Open-Unmix,track_029,other,-0.6127,-4.2309,6.988516807556152,5.439447402954102,6.988749027252197,
Open-Unmix,track_030,vocals,4.1986,3.2448,6.131246089935303,3.162557601928711,5.329360008239746,
Open-Unmix,track_030,drums,5.4372,4.0805,7.132749557495117,5.1517534255981445,7.082202434539795,
Open-Unmix,track_030,bass,6.4546,5.5012,5.196047306060791,2.8742353916168213,4.783694744110107,
Open-Unmix,track_030,other,1.9771,-2.5345,5.981833457946777,3.1885976791381836,5.438796520233154,
